,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Wed Jun 27 16:04:05 +0000 2018,Something deadly lies beneath the ice in Iceland... https://t.co/IqWwmtfTkk,-0.4215,0.0,0.741,0.259,1
1,BBC,Wed Jun 27 15:09:27 +0000 2018,"🕺 *Knight Fever* 

Bee Gee Sir Barry Gibb paid tribute to his late brothers as he collected his knighthood on Tuesd… https://t.co/LLIHYKRfhR",0.0,0.0,1.0,0.0,2
2,BBC,Wed Jun 27 14:42:13 +0000 2018,RT @bbccomedy: Some writing advice from an expert... #NationalWritingDay @RealMattLucas @davidwalliams https://t.co/lz2MQzpvKY,0.0,0.0,1.0,0.0,3
3,BBC,Wed Jun 27 13:05:07 +0000 2018,"French butchers have written to the government asking for protection against militant vegans.
👉… https://t.co/6pgMQ46tUR",0.0,0.0,1.0,0.0,4
4,BBC,Wed Jun 27 11:52:00 +0000 2018,☕️ How a simple change is cutting coffee cup waste https://t.co/kkbcSZvFn3,-0.5106,0.0,0.65,0.35,5
5,BBC,Wed Jun 27 11:39:52 +0000 2018,"RT @BBCBreakfast: Dear Summer, ☀️
We're enjoying this lovely weather. Can you stay?
Lots of love - The entire UK x
#heatwave https://t.co/g…",0.9403,0.464,0.536,0.0,6
6,BBC,Wed Jun 27 11:03:04 +0000 2018,"🦔🧙 Did you know people used to think hedgehogs were witches?

Here are nine things you might not know about the hum… https://t.co/Wj7a5idS4m",0.0,0.0,1.0,0.0,7
7,BBC,Wed Jun 27 09:30:20 +0000 2018,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/qVNcgsGM8C",0.0,0.0,1.0,0.0,8
8,BBC,Wed Jun 27 08:47:40 +0000 2018,RT @BBCArchive: Computer geeks - this is your lucky day! You can now watch all 146 original programmes and run 161 programs from the 1980s…,0.6114,0.194,0.756,0.05,9
9,BBC,Wed Jun 27 08:01:05 +0000 2018,👟 @MumsnetTowers founder @Justine_Roberts on why you should always wear trainers to work. https://t.co/FgTPRo5Agm,0.0,0.0,1.0,0.0,10
10,BBC,Wed Jun 27 07:29:04 +0000 2018,"😴 The colour cyan - between green and blue - is a hidden factor in encouraging or preventing sleep, according to bi… https://t.co/HogBXzm2Y5",0.5106,0.158,0.791,0.051,11
11,BBC,Wed Jun 27 07:01:05 +0000 2018,Inside the community where people with learning disabilities and the people who care for them live and work togethe… https://t.co/LurfYqtc84,0.4939,0.144,0.856,0.0,12
12,BBC,Tue Jun 26 21:20:15 +0000 2018,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",0.0,0.0,1.0,0.0,13
13,BBC,Tue Jun 26 19:05:08 +0000 2018,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",0.0,0.0,1.0,0.0,14
14,BBC,Tue Jun 26 18:03:06 +0000 2018,"Tonight, @itsanitarani and @bbcnickrobinson ask tough questions about the NHS in a special live event. 

 NHS at 70… https://t.co/Wu4ECf7qic",0.296,0.134,0.792,0.074,15
15,BBC,Tue Jun 26 17:02:02 +0000 2018,How would you feel if the builder only made you half a house? https://t.co/yaWB0USzex,0.0,0.0,1.0,0.0,16
16,BBC,Tue Jun 26 16:33:41 +0000 2018,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…",0.0,0.0,1.0,0.0,17
